内容,发布日期,发布人,url,转发数
经查，该微博称“美国的10艘医疗军舰已经开进纽约港”不实，@捉谣记 已辟谣：美国总统特朗普3月18日宣布将分别派遣医疗船前往纽约港和西岸地区，以缓解当地医疗力量不足。目前美国海军拥有两艘医疗船，每艘医疗船能放置1000张病床，详情：https://weibo.com/6590980486/Izvx0lmFG，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效。,3月21日,恩威特监控专家 ,https://weibo.com/3722570854/IzBx8ntA9?type=comment,67
经查，该微博称“美国35艘医疗舰已开赴各沿海港口”不实，@捉谣记 已辟谣：美国总统特朗普3月18日宣布将分别派遣医疗船前往纽约港和西岸地区，以缓解当地医疗力量不足。目前美国海军拥有两艘医疗船，每艘医疗船能放置1000张病床，详情：https://weibo.com/6590980486/Izvx0lmFG，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效。,3月20日,牛春宝,https://weibo.com/1320153481/IzvqNB02H?type=comment,65
经查，此微博配图称“180座战地医院，一夜之间遍及全美。”不实，该配图有明显PS痕迹抹去了斯洛文尼亚国旗，且在2014年原图就已出现。详情：http://t.cn/A6zug0CJ，被举报人言论构成“发布不实信息”，且情节恶劣。现根据《微博举报投诉操作细则》（<>）第19条，对被举报人处理如下：扣除信用积分10分，禁言15天，禁被关注15天。上述处理在公布后60分钟内生效。,3月21日,江濡山,https://weibo.com/1133418130/IzxNQ7rAR?type=comment#_rnd1604025476795,1711
经查，该微博称“美国的10艘医疗军舰已经开进纽约港”不实，@捉谣记 已辟谣：美国总统特朗普3月18日宣布将分别派遣医疗船前往纽约港和西岸地区，以缓解当地医疗力量不足。目前美国海军拥有两艘医疗船，每艘医疗船能放置1000张病床，详情：https://weibo.com/6590980486/Izvx0lmFG，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效。,3月20日,画画的老武,https://weibo.com/6686773484/IzvUAb9yT?type=comment,66
经查，该微博称“美国的10艘医疗军舰已经开进纽约港”不实，@捉谣记 已辟谣：美国总统特朗普3月18日宣布将分别派遣医疗船前往纽约港和西岸地区，以缓解当地医疗力量不足。目前美国海军拥有两艘医疗船，每艘医疗船能放置1000张病床，详情：https://weibo.com/6590980486/Izvx0lmFG，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效,3月20日,赵宏民,https://weibo.com/1329201253/IzxatoAoA?type=comment,235
经查，该微博称“美国的10艘医疗军舰已经开进纽约港”不实，@捉谣记 已辟谣：美国总统特朗普3月18日宣布将分别派遣医疗船前往纽约港和西岸地区，以缓解当地医疗力量不足。目前美国海军拥有两艘医疗船，每艘医疗船能放置1000张病床，详情：https://weibo.com/6590980486/Izvx0lmFG，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分10分，禁言15天，禁被关注15天。上述处理在公布后60分钟内生效。,3月20日,张牟谋,https://weibo.com/3047494607/IztdxqdxP?type=comment,434
经查，该微博发视频称“马来西亚巫师病床作法抓新冠病毒”不实，@天津辟谣 已辟谣：“经查证，这是个老视频，和新冠病毒毫无关系。在外网上能够找见的最初版本是2018年11月4日，并未附带马来西亚、巫师、病毒等信息。详情：https://weibo.com/7330126026/IyPSlzIJt，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效,3月9日,台湾那点事儿 ,https://weibo.com/6067139463/IxMS4CUf5?type=comment,89
经查，该微博称“石正丽凌晨发出警告：对疫情不必抱有太大乐观，蚊虫或成第三宿主”不实，@环球网 已报道：武汉病毒所辟谣石正丽“蚊虫或成第三宿主”言论，石正丽研究员从未发布过任何相关信息，详情：https://weibo.com/1686546714/Iz33N9J1h，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效。,3月17日,少帅的点评 ,https://weibo.com/7405340395/Iz1Zpg6V6?type=comment,219
经查，该微博称“回国治新冠肺炎，不免费想投诉”不实，@求真栏目 已辟谣：“回国治新冠肺炎，不免费想投诉”系杜撰，随后，该帖发布者道歉，承认其为蹭流量编造小故事，详情：https://weibo.com/3464023154/IySTAycMQ，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效。,3月15日,连锋医生,https://weibo.com/2204260377/IyLnZlfIi?type=comment#_rnd1604026445480,101
经查，此微博称“意大利外交部长指责华春莹在Twitter散播假消息”不实，据@观察者网：内容系意大利一家网络媒体自己发布“罗马上空放中国国歌”的视频是“假的”，意大利外交部和外长迪马约应该知道这事。压根不是意大利外长指责中国外交官。详情：https://weibo.com/1887344341/IyViMmikD，被举报人言论构成“发布不实信息”。现根据《微博举报投诉操作细则》（<http://service.account.weibo.com/roles/guiding>）第19条，对被举报人处理如下：扣除信用积分20分，禁言并禁被关注30天。上述处理在公布后60分钟内生效。,3月16日,中华之鹰01 ,https://weibo.com/6373105193/IySaAwmqa?type=comment#_rnd1604050704868,1476
