id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
4.46507E+15,4.46507E+15,7027462762,4.46507E+15,1580039135,0,0,0,,//@吐槽�?好，我下一站去泰国漂漂。。。。[吃瓜],1552222796,109,77,2,2718,281,陷进泥潭的小蝌蚪,陷进泥潭的小蝌蚪,,m,100,1000,FALSE,,-1,其他,"https://tvax1.sinaimg.cn/crop.0.0.996.996.180/007FAw5Aly8gbp8toac60j30ro0romz5.jpg?KID=imgbed,tva&Expires=1585311824&ssig=7QPWKy5ewJ",TRUE,null,null
4.46507E+15,4.46507E+15,1783621413,4.465E+15,1580039262,0,0,0,转发微博,转发微博,1279992907,511,33,79,6344,3668,玉古路旁,玉古路旁,"外面的世界�?,m""",33,1,FALSE,,-1,浙江 杭州,"https://tva2.sinaimg.cn/crop.0.0.180.180.180/6a4fe725jw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1585311824&ssig=8grpqLO7ZY",FALSE,null,null,
4.46507E+15,4.46507E+15,1955971061,4.465E+15,1580039288,0,0,0,[doge]👏,[doge]👏,1297086888,549,84,318,3813,1289,RAKKOrakko,RAKKOrakko,🐳,f,44,3,FALSE,,-1,广东 深圳,"https://tvax1.sinaimg.cn/crop.0.0.1006.1006.180/7495bff5ly8fve9zbvoptj20ry0rydji.jpg?KID=imgbed,tva&Expires=1585311824&ssig=XZWD4iWQTY",TRUE,null,null
4.46507E+15,4.46507E+15,5902247130,4.46507E+15,1580039301,0,0,0,,//@吐槽�?好，我下一站去泰国漂漂。。。。[吃瓜],1461081520,63,6,13,8432,252,"鲜红的尾�?,鲜红的尾�?",讲段子是八门艺术,m,43,1,FALSE,,-1,湖南 长沙,"https://tva2.sinaimg.cn/crop.0.0.750.750.180/006rre6mjw8f32gdv8mp6j30ku0kuwgl.jpg?KID=imgbed,tva&Expires=1585311824&ssig=Q7x%2BQYy4OJ",TRUE,null,null,
4.46507E+15,4.46507E+15,1217426163,4.465E+15,1580039312,0,0,0,,//@南瓜在普�?看看泰国政府怎么做的！比我们很多人更像同胞！,1288585152,627,98,51,2558,610,我的颓败,我的颓败,"两种沉默：一种是无话可说，一种是滔滔不绝�?,m""",11,5,FALSE,,220,"北京 朝阳�?,https://tvax4.sinaimg.cn/crop.0.0.750.750.180/489072f3ly8ft3l2pz5a7j20ku0ku40x.jpg?KID=imgbed",tva&Expires=1585311824&ssig=aT71bBXJq3",TRUE,null,null,
4.46507E+15,4.46507E+15,1485699962,4.46501E+15,1580039411,0,0,0,,//@海滨政经�?橡谷智库:人性化佛系泰国//@南瓜在普�?看看泰国政府怎么做的！比我们很多人更像同胞！,1276368859,324,81,1482,5317,237,lazy懒懒懒人,lazy懒懒懒人,"什么都不是�?,f""",50,6,FALSE,,220,重庆 沙坪坝区,"https://tva3.sinaimg.cn/crop.0.0.180.180.180/588dfb7ajw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1585311824&ssig=YsMdhkTMoK",TRUE,null,null,
4.46507E+15,4.46507E+15,3314027541,4.46507E+15,1580039512,0,0,0,,//@吐槽�?好，我下一站去泰国漂漂。。。。[吃瓜],1366447443,827,105,74376,17687,811,骑鉿,骑鉿,"不正经←_�?,m""",100,1000,FALSE,,-1,其他,"https://tvax2.sinaimg.cn/crop.0.0.480.480.180/c5880c15ly8g4iin4ku3bj20dc0dc74t.jpg?KID=imgbed,tva&Expires=1585311813&ssig=Xqas7PxpPD",TRUE,null,null,
4.46507E+15,4.46507E+15,5355543636,4.46507E+15,1580039528,0,0,0,,//@吐槽�?好，我下一站去泰国漂漂。。。。[吃瓜],1415069356,488,13,161,101451,35,"来份小炒�?,来份小炒�?","一个傻�?,m""",11,1000,FALSE,,-1,北京,"https://tvax2.sinaimg.cn/crop.0.0.996.996.180/005Qrjy4ly8foo2bprvmhj30ro0ro407.jpg?KID=imgbed,tva&Expires=1585311813&ssig=Q6DrmS8yYv",TRUE,null,null,,
4.46507E+15,4.46507E+15,1001778712,4.46507E+15,1580039545,0,0,0,,//@吐槽�?好，我下一站去泰国漂漂。。。。[吃瓜],1393560151,61178,4,65,1967,659,菓儿_Ashtynfu,菓儿_Ashtynfu,热爱旅行和奋斗的正能量萝莉~,f,51,1,FALSE,,-1,四川 成都,"https://tvax3.sinaimg.cn/crop.0.11.750.750.180/3bb5ee18ly8fn1lgv3jjfj20ku0lgt9u.jpg?KID=imgbed,tva&Expires=1585311813&ssig=gpYVA8aoo7",TRUE,null,null
4.46507E+15,4.46507E+15,1846640873,4.465E+15,1580039749,0,0,0,转发微博,转发微博,1288804601,362,93,50,3306,560,"納尔维克的刺�?,納尔维克的刺�?","不劳不苦,不得平安; 不争不战,不得凯旋.",m,400,31,FALSE,,-1,海外 挪威,"https://tva1.sinaimg.cn/crop.0.0.180.180.180/6e1180e9jw8egzv6yyrmyj20500500sz.jpg?KID=imgbed,tva&Expires=1585311813&ssig=2FmgYr%2FRQg",FALSE,null,null,
