7.230750219784642940e-02 7.649787078040867772e-02 4.736129389395905831e-02 3.372894727555841854e-02
4.096987478442756792e-02 9.535508952988311360e-02 1.199664360741291708e-01 4.652658477410120258e-02
1.505837231965981293e-01 1.352734004241915589e-01 5.864893630275296033e-02 5.714281799148063917e-02
1.399332258885740976e-01 1.758765403562226604e-01 1.198825270557914296e-01 4.801907695725689956e-02
1.601199280486192145e-01 9.699732390465876097e-02 9.222697219210410080e-02 1.844078244734371208e-01
1.348299096763776739e-01 9.253284673364585433e-02 1.234399676161511833e-01 1.955209837609538370e-01
5.189652039063865491e-02 9.878138961978927268e-02 8.582708951890909155e-02 1.155098525538272684e-02
8.518347749760107890e-02 3.370892064108405028e-02 9.723250152379514510e-02 1.942145741871191544e-01
2.021558290487045217e-02 8.227589962559803127e-02 1.360306235358472171e-01 6.142405648492171855e-02
9.583917571874728258e-02 6.515078967943968569e-02 9.659452032227450191e-02 1.515357935729013672e-01
