net_id,num,rls,h,Authenticity,distance
98,655,0.37037037037037035,1.3606023478909615,real,0.0
98,394,0.18181818181818182,1.9554235893331415,real,0.0
98,208,0.6363636363636364,2.030535259751574,real,0.0
98,717,0.5897435897435898,1.760326515447209,real,0.0
98,303,0.1951219512195122,0.8846417482398206,real,0.0
98,403,0.38636363636363635,1.3228702497526201,real,0.0
98,456,0.8303571428571429,1.2779567444432203,real,0.0
98,384,0.07746478873239436,1.3746417234099775,real,0.0
98,271,0.5771812080536913,1.1776733509094717,real,0.0
98,386,0.16770186335403728,0.8622608595285972,real,0.0
98,381,0.08235294117647059,0.797109825356805,real,0.0
98,865,0.0034965034965034965,0.6977775629620022,real,0.0
98,784,0.013245033112582781,0.7267684496096867,real,0.0
98,537,0.00375234521575985,0.6950045266283951,real,0.0
98,422,0.004784688995215311,0.6955089561450118,real,0.0
98,372,0.06403940886699508,1.2520043211939986,real,0.0
98,377,0.021798365122615803,0.7117633860487955,real,0.0
98,351,0.0,0.6902951232797827,real,0.0
98,344,0.0029411764705882353,0.6960422204997045,real,0.0
98,665,0.029503105590062112,0.7204939500068765,real,0.0
98,407,0.007462686567164179,0.6980585540088589,real,0.0
98,801,0.0037688442211055275,0.6956434270715648,real,0.0
98,809,0.03870967741935484,0.7320475727575677,real,0.0
98,527,0.005747126436781609,0.6969407279027795,real,0.0
98,419,0.11143695014662756,0.889463338236014,real,0.0
98,408,0.19424460431654678,1.0637206804505326,real,0.0
98,575,0.030685920577617327,0.7249056839991859,real,0.0
98,457,0.0671462829736211,0.7769625590792337,real,0.0
98,278,0.0072992700729927005,0.6967259086497979,real,0.0
98,278,0.0072992700729927005,0.6967259086497979,real,0.0
98,766,0.0453920220082531,0.7407745105766406,real,0.0
98,618,1.0495495495495495,1.3592799127211281,real,0.0
98,399,0.31226765799256506,1.0602108851538916,real,0.0
98,1251,0.632183908045977,1.4716436804462205,real,0.0
98,337,0.4883720930232558,1.2794940703740971,real,0.0
98,915,0.0032967032967032967,0.6953312892891015,real,0.0
98,412,0.004901960784313725,0.6955660801706123,real,0.0
98,366,0.20987654320987653,1.084256197255607,real,0.0
98,560,0.11297071129707113,0.8425302067324765,real,0.0
