id,mid,uid,parent,text,time
4589622380732008,4589622380732008,5511008040,NULL,"
                                                                                                                        南京清洁工带上电子手环，休息二十分钟就触发警报好像本来是用来监测生命体征，怎么落实下来感觉变味儿了 ​​​​                                            ","
                                 1月4日 12:31            	                                            已编辑
                                                "
4590010487276639,4590010487276639,5999920898,4589622380732008,¿ 真实发生过的事情怎么就算不实信息了,1月5日 14:14
4590007552055857,4590007552055857,6031500380,4589622380732008,艹,1月5日 14:02
4590000148324887,4590000148324887,6430994993,4589622380732008,强奸犯电子脚环能落实不？管老实人这么努力，管流氓强奸犯还挺宽容啊,1月5日 13:32
4589984666893908,4589984666893908,Matsuoka,4589622380732008,牛逼,1月5日 12:31
4589969333293062,4589969333293062,5151179531,4589622380732008,转发微博,1月5日 11:30
4589942141357408,4589942141357408,6058447991,4589622380732008,快转微博,1月5日 09:42
4589931231971249,4589931231971249,6611368272,4589622380732008,每次都在吃瓜前线,1月5日 08:59
4589926384146134,4589926384146134,7266253423,4589622380732008,什么鬼玩意,1月5日 08:39
4589925988566987,4589925988566987,2862562964,4589622380732008,最讽刺的还是那个因为过期而“不实”标签,1月5日 08:38
4589916942504825,4589916942504825,1719179684,4589622380732008,18年的新闻，现在还戴着根本没取消就成不实信息了…,1月5日 08:02
4589911862937357,4589911862937357,7502053134,4589622380732008,大家大都还心疼住豪宅的孟晚舟,1月5日 07:42
4589868900417852,4589868900417852,5713631847,4589622380732008,？,1月5日 04:51
4589832607368739,4589832607368739,3499139377,4589622380732008,这是在工作还是在做奴隶啊……,1月5日 02:27
4589831353534245,4589831353534245,7452396189,4589622380732008,。,1月5日 02:22
4589828165599531,4589828165599531,5361205926,4589622380732008,只是过期新闻 不是不实！是否改正？未知！,1月5日 02:09
4589819902820460,4589819902820460,7447518038,4589622380732008,转发,1月5日 01:36
4589817813534954,4589817813534954,2144203040,4589622380732008,#拼多多#  我裂开 怎么反驳人家说你没人权,1月5日 01:28
4589817037330325,4589817037330325,3845596444,4589622380732008,看举报我以为是假的 没想到这是以前真实存在的事情,1月5日 01:25
4589815079373874,4589815079373874,Vickyaizxx,4589622380732008,赛博朋克🙃,1月5日 01:17
4589808875476881,4589808875476881,3947736721,4589622380732008,18面的新闻=不实。我服了,1月5日 00:52
4589805100861558,4589805100861558,2198373327,4589622380732008,人权强国，劳动者的天堂,1月5日 00:37
4589801396764908,4589801396764908,6705026179,4589622380732008,转发,1月5日 00:23
4589798843488267,4589798843488267,7021530930,4589622380732008,Repost,1月5日 00:13
4589790734854264,4589790734854264,5232709289,4589622380732008,,1月4日 23:40
4589789767274705,4589789767274705,5039355861,4589622380732008,转发微博,1月4日 23:36
4589786290195339,4589786290195339,feidelisi,4589622380732008,资本家:现在不用鞭子，带个环驴就会跑了真好//: 怎么不见着强奸犯恋童癖带一个//:笑死了，本来应该是qjf的待遇，结果用在辛辛苦苦的劳动工人身上谁想出来的，呵呵//强奸犯都没有的电子手环安在环卫工人身上,1月4日 23:23
4589785501139727,4589785501139727,5297055751,4589622380732008,,1月4日 23:19
4589784561360959,4589784561360959,7272707641,4589622380732008,魔幻现实,1月4日 23:16
4589779574333779,4589779574333779,6636108551,4589622380732008,？？？,1月4日 22:56
4589776818144499,4589776818144499,5159461938,4589622380732008,这些辟谣就很灵性🙃,1月4日 22:45
4589768219837389,4589768219837389,1107700435,4589622380732008,你妈了,1月4日 22:11
4589767557645514,4589767557645514,5678086923,4589622380732008,转发,1月4日 22:08
4589760363888820,4589760363888820,2252462424,4589622380732008,科科,1月4日 21:40
4589757922814868,4589757922814868,5442851934,4589622380732008,有这东西不用在qj犯身上用在平常人身上 有事吗,1月4日 21:30
4589757801435093,4589757801435093,6737508153,4589622380732008,！？,1月4日 21:29
4589755046568740,4589755046568740,3435305772,4589622380732008,不给强奸犯整个合理吗？,1月4日 21:18
4589752949155284,4589752949155284,5522441092,4589622380732008,哦！原来是18年的新闻，不过现在也有也叫不实,1月4日 21:10
4589752420672091,4589752420672091,5614928772,4589622380732008,Repost,1月4日 21:08
4589752219870036,4589752219870036,fyy233,4589622380732008,我还以为是假的，没想到不实信息是指时间对不上，新浪真有你的啊好狗腿子,1月4日 21:07
4589749635123247,4589749635123247,7046341620,4589622380732008,转发微博,1月4日 20:57
4589748440010864,4589748440010864,2411849453,4589622380732008,转发微博,1月4日 20:52
4589747299946531,4589747299946531,yuelaiyueaini,4589622380732008,这不是应该给强奸犯戴的吗,1月4日 20:48
4589746360164704,4589746360164704,3220079133,4589622380732008,啧啧,1月4日 20:44
4589742710068161,4589742710068161,5183778364,4589622380732008,转发,1月4日 20:29
4589740751589685,4589740751589685,5222958037,4589622380732008,没人性啊,1月4日 20:22
4589739729230021,4589739729230021,6856579867,4589622380732008,？,1月4日 20:18
4589733077061832,4589733077061832,5874832618,4589622380732008,转发微博,1月4日 19:51
4589732241611211,4589732241611211,2280887255,4589622380732008,举报的一会儿说18年，一会儿说19年，又说2020年，真的很搞笑，到底谁是不实消息啊,1月4日 19:48
4589730383278698,4589730383278698,7512914103,4589622380732008,转发微博,1月4日 19:40
4589730332678451,4589730332678451,7444608916,4589622380732008,转发,1月4日 19:40
4589730169368405,4589730169368405,6994102911,4589622380732008,有病？,1月4日 19:40
4589728140362735,4589728140362735,5789800009,4589622380732008,？,1月4日 19:32
4589726940797039,4589726940797039,2136468433,4589622380732008,转发微博,1月4日 19:27
4589725816718841,4589725816718841,5963342461,4589622380732008,转发微博,1月4日 19:22
4589724909710495,4589724909710495,6138073592,4589622380732008,转发,1月4日 19:19
4589724137695997,4589724137695997,6047743344,4589622380732008,转发微博,1月4日 19:16
4589724054586327,4589724054586327,7365878360,4589622380732008,有病吧,1月4日 19:15
4589723564115186,4589723564115186,1238215120,4589622380732008,事情拿出来说，会被骂死。但是越穷的人，越是底层的人，就越会偷奸耍滑，不去这样管理，根本没有办法工作。,1月4日 19:13
4589723538427203,4589723538427203,5324072481,4589622380732008,转发微博,1月4日 19:13
4589722174760981,4589722174760981,7208066286,4589622380732008,转发微博,1月4日 19:08
4589721575238059,4589721575238059,1843925971,4589622380732008,真的，所谓的科技大佬们，别老是盯了老百姓了，也有点企业担当吧,1月4日 19:05
4589720602942691,4589720602942691,2559399807,4589622380732008,Repost,1月4日 19:02
4589720501499321,4589720501499321,2117572672,4589622380732008,转发微博,1月4日 19:01
4589719595527015,4589719595527015,6445353832,4589622380732008,时间是2019年的，事件都是对的，怎么就成不实消息了？？？,1月4日 18:58
4589719356191906,4589719356191906,3867021857,4589622380732008,？？？,1月4日 18:57
4589719264956468,4589719264956468,5615024419,4589622380732008,??????,1月4日 18:56
4589718635286479,4589718635286479,cdromer,4589622380732008,这肯定是过分了。不过也尝试杠一下：既然花的是公帑，国资监管是否应该够严，防止曾盛行于公有经济的薅社会主义羊毛现象及其必然导致的劣币驱逐良币后果？机场保安夜间巡更到点刷卡是否也该取消，大冷天的岁数也不小，为啥不信任人家？【提供两边平衡视角，半真半戏，就不加狗头了】,1月4日 18:54
4589717322731799,4589717322731799,7478961287,4589622380732008,转发微博,1月4日 18:49
4589716361708055,4589716361708055,7476931699,4589622380732008,是过期还是选择性遗忘,1月4日 18:45
4589715762976109,4589715762976109,6142539832,4589622380732008,转发微博,1月4日 18:42
4589715016122374,4589715016122374,6572957009,4589622380732008,呕,1月4日 18:39
4589715007473673,4589715007473673,7514323453,4589622380732008,转发微博,1月4日 18:39
4589714273474261,4589714273474261,1910678154,4589622380732008,转发微博,1月4日 18:36
4589713443524254,4589713443524254,7521911107,4589622380732008,。。。？真是太强大啦,1月4日 18:33
4589712431914395,4589712431914395,5667677495,4589622380732008,真实迷惑,1月4日 18:29
4589712310541015,4589712310541015,6587706857,4589622380732008,拿些大都是上了年纪的环卫工老人开整 天天没事做了一样,1月4日 18:29
4589710897317328,4589710897317328,5862354142,4589622380732008,转发微博,1月4日 18:23
4589710770447598,4589710770447598,5894403768,4589622380732008,？？？？魔幻现实,1月4日 18:23
4589710624167912,4589710624167912,7332601719,4589622380732008,,1月4日 18:22
